ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,Fleet,Vehicle,Fuel,Dist.Run,MPG,Type
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,MV14SOJ  ,MPV       ,831.24,7107M*,41.43,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,NA12KXS  ,CAR       ,563.01,4729M,38.18,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,ND11PYP  ,CAR       ,626.98,5220M,37.84,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,ND12KHL  ,SMALL VAN ,128.72,683M,24.12,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,ND60NFK  ,CAR       ,1864.85,15562M,37.93,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,NJ62XRG  ,SMALL VAN ,89.73,707M*,53.76,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,NJ63BYW  ,CAR       ,560.35,3716M*,32.33,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,NK14OBU  ,MINIBUS   ,771.56,3457M*,20.51,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,NL13XLX  ,CAR       ,840.05,6922M,37.45,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,NL62EYR  ,CAR       ,708.18,6519M,41.84,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,NU11DDK  ,SMALL VAN ,290.49,2490M*,43.04,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,NU11RHK  ,CAR       ,658.74,5774M*,43.34,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,NU63YGJ  ,SMALL VAN ,215.21,1464M*,38.19,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,NV60UFS  ,SMALL VAN ,553.85,4523M,37.12,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,3303,LIBRARY BU,2421.17,5215K,6.08,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,3304,LIBRARY BU,3019.4,11449K,10.71,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,OW04BKU  ,LARGE VAN ,2566.07,13447M,23.82,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,PARKING M,MASTER    ,1406.06,KEY,,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,3501,LARGE TIPP,2530.27,11401K*,13.07,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,3503,LARGE TIPP,1528.38,5126K*,9.77,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,3502,LARGE TIPP,2463.13,8412K*,9.95,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,PMCMAST  ,MASTER    ,7332.49,KEY,,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,PMDIEMAST,MASTER    ,27801.76,KEY,,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,5015,18TN D/M  ,4426.82,9973K*,6.52,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,5019,18TN D/M  ,3455.91,9240K,7.55,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,5016,18TN D/M  ,3613.42,8977K,7.02,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,5020,18TN D/M  ,4121.69,10560K,7.24,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,5017,18TN D/M  ,3948.25,10382K,7.43,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,5018,18TN D/M  ,3376.53,9005K,7.53,D
